<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20180917,212.3708,212.3708,209.0673,209.6336,5410
SAB,20180918,211.4270,211.4270,209.5392,210.4830,24680
SAB,20180919,210.4830,210.4830,207.6514,207.6514,19770
SAB,20180920,207.6514,209.5391,206.2356,207.5570,9720
SAB,20180921,206.2356,209.4447,205.1029,206.7076,30810
SAB,20180924,206.7076,206.7076,205.2918,206.6132,26420
SAB,20180925,206.6132,206.7076,205.5749,206.7076,18180
SAB,20180926,206.7076,206.7076,204.8199,206.6132,22560
SAB,20180927,206.6132,209.5392,205.9525,207.6514,34790
SAB,20180928,208.5953,210.0111,207.6514,210.0111,66090
SAB,20181001,209.8223,209.8223,207.6514,209.7279,20780
SAB,20181002,209.7279,212.3708,207.4626,212.3708,103220
SAB,20181003,212.3708,214.2585,212.3708,213.0315,17230
SAB,20181004,213.3147,213.9754,212.3708,213.3147,4940
SAB,20181005,210.4831,213.2203,209.5392,210.6718,22290
SAB,20181008,209.2560,210.6718,207.5570,210.6718,24950
SAB,20181009,209.2560,210.6718,207.7458,210.6718,27710
SAB,20181010,209.2560,213.3147,209.2560,213.3147,18450
SAB,20181011,213.3147,213.3147,206.1413,209.5392,21230
SAB,20181012,209.5392,210.4831,206.7076,210.0111,40990
SAB,20181015,208.1234,212.2764,207.6514,210.4830,45960
SAB,20181016,209.6278,213.0487,209.5327,210.9640,22050
SAB,20181017,210.9640,212.1994,210.1087,211.9143,36550
SAB,20181018,212.7696,212.7696,210.2038,210.9640,10210
SAB,20181019,209.0634,211.6292,207.1628,209.0635,24610
SAB,20181022,209.0635,211.4392,207.1629,210.9640,31600
SAB,20181023,210.9640,212.8646,209.0634,211.8193,34600
SAB,20181024,211.3442,212.9596,209.5386,210.9640,54220
SAB,20181025,206.3076,210.9640,206.2126,210.9640,26680
SAB,20181026,212.2944,212.2944,208.3032,210.2038,32970
SAB,20181029,210.9640,211.4392,210.2038,210.9640,67050
SAB,20181030,210.9640,211.8193,201.4611,211.1541,90870
SAB,20181031,211.1541,211.4392,205.3573,211.4392,55160
SAB,20181101,211.4392,211.4392,207.3530,210.9640,11320
SAB,20181102,209.0634,211.4391,207.6380,210.9640,81350
SAB,20181105,208.1131,211.9143,207.2579,211.9143,42370
SAB,20181106,211.9143,212.3894,208.3032,212.1994,26860
SAB,20181107,212.1994,213.8149,209.1585,213.8149,40070
SAB,20181108,213.8149,215.5254,212.3895,214.6702,26180
SAB,20181109,214.7652,214.7652,212.0094,214.6702,32970
SAB,20181112,214.6702,224.2681,212.8647,221.4172,50480
SAB,20181113,220.7520,229.9698,220.4669,225.7885,49110
SAB,20181114,226.1686,234.2461,225.7885,230.9201,77240
SAB,20181115,230.4450,236.5268,228.0692,232.8207,46990
SAB,20181116,232.8207,234.6262,229.9698,232.8207,42550
SAB,20181119,232.8207,236.1467,229.9698,233.2958,23290
SAB,20181120,230.7300,231.8704,228.1642,231.3952,28270
SAB,20181121,229.9698,229.9698,226.1686,229.9698,61600
SAB,20181122,229.9698,230.9201,227.1189,229.9698,12800
